event_id,t_start_full,t_end_full,t_start_core,t_end_core,duration_full_s,duration_core_s,Qmax,Qmin_full,Q_amp,t_Qmax,volume_Q_dt,P_tot_mm
1,2024-10-16 05:19:00,2024-10-16 11:14:00,2024-10-16 06:19:36,2024-10-16 08:14:27,21600.0,7200.0,1.8494110282592306,0.0,1.8494110282592306,2024-10-16 06:19:36,1582.6245565785152,152.0
2,2024-10-16 18:19:00,2024-10-17 02:59:00,2024-10-16 19:19:55,2024-10-16 23:59:48,31500.0,17100.0,9.500939319542915,0.0,9.500939319542915,2024-10-16 21:29:43,19576.311979981645,116.0
3,2024-10-17 03:14:00,2024-10-17 12:49:28,2024-10-17 04:14:28,2024-10-17 09:49:00,34800.0,20400.0,20.914615487661344,0.0,20.914615487661344,2024-10-17 07:19:33,62221.21130526197,122.0
4,2024-10-17 11:34:00,2024-10-17 21:59:00,2024-10-17 12:34:45,2024-10-17 18:59:03,37800.0,23400.0,13.914344169025668,0.0,13.914344169025668,2024-10-17 16:39:11,27882.857251402304,48.5
5,2024-10-24 19:44:00,2024-10-25 05:44:00,2024-10-24 20:44:00,2024-10-25 02:44:00,36300.0,21900.0,9.25228645564117,0.0,9.25228645564117,2024-10-24 22:29:23,23702.508058584393,31.5
6,2024-10-25 10:44:00,2024-10-26 01:34:56,2024-10-25 11:44:03,2024-10-25 22:34:38,53700.0,39300.0,6.591771403011296,0.0,6.591771403011296,2024-10-25 19:59:00,60264.142530706325,78.5
7,2024-10-26 02:49:00,2024-10-26 14:39:00,2024-10-26 03:49:28,2024-10-26 11:39:28,42900.0,28500.0,5.275233219250719,0.0,5.275233219250719,2024-10-26 07:44:40,44264.77986232533,57.0
8,2024-10-26 15:19:00,2024-10-27 00:19:00,2024-10-26 16:19:52,2024-10-26 21:19:00,32700.0,18300.0,5.278034075892743,0.0,5.278034075892743,2024-10-26 18:59:06,34808.738718187014,45.0
9,2024-10-27 01:39:00,2024-10-27 09:54:00,2024-10-27 02:39:00,2024-10-27 06:54:00,30000.0,15600.0,3.900262444593109,0.0,3.900262444593109,2024-10-27 04:24:13,7588.812150916314,10.0
10,2024-10-27 10:59:40,2024-10-27 15:09:00,2024-10-27 11:59:00,2024-10-27 12:09:00,15300.0,900.0,2.613543095207597,0.0,2.613543095207597,2024-10-27 11:59:00,3043.6976382367534,4.0
11,2024-10-27 23:14:00,2024-10-28 03:14:00,2024-10-28 00:14:00,2024-10-28 00:14:00,14700.0,300.0,2.570731675336206,0.0,2.570731675336206,2024-10-28 00:14:00,1472.5355383778729,2.0
12,2024-11-21 10:19:00,2024-11-21 21:19:00,2024-11-21 11:19:00,2024-11-21 18:19:56,39900.0,25500.0,2.618504476602649,0.0,2.618504476602649,2024-11-21 13:34:28,22541.717003294405,31.0
13,2024-11-24 23:19:00,2024-11-25 05:59:00,2024-11-25 00:19:00,2024-11-25 02:59:00,24300.0,9900.0,1.2888749673360216,0.0,1.2888749673360216,2024-11-25 02:49:49,11069.878879649452,14.5
14,2024-11-25 10:49:00,2024-11-25 23:49:00,2024-11-25 11:49:46,2024-11-25 20:49:00,47100.0,32700.0,5.288874976398035,0.0,5.288874976398035,2024-11-25 20:24:56,27479.74954738648,35.5
