event_id,time,Q,P_mm
1,2020-01-23 21:49:00,25.6064721873783,0.0
1,2020-01-23 21:54:00,,0.0
1,2020-01-23 21:59:00,,0.0
1,2020-01-23 22:04:00,27.1583679279349,0.0
1,2020-01-23 22:09:18,,0.5
1,2020-01-23 22:14:00,,0.0
1,2020-01-23 22:19:00,29.6111028644192,1.0
1,2020-01-23 22:24:00,,0.5
1,2020-01-23 22:29:00,,0.0
1,2020-01-23 22:34:00,31.6225202726346,0.0
1,2020-01-23 22:39:00,,0.5
1,2020-01-23 22:44:00,,0.0
1,2020-01-23 22:49:00,32.5123704021228,0.0
1,2020-01-23 22:54:00,,0.0
1,2020-01-23 22:59:00,,0.0
1,2020-01-23 23:04:00,33.1148810870411,0.0
1,2020-01-23 23:09:36,,0.5
1,2020-01-23 23:14:00,,0.5
1,2020-01-23 23:19:00,34.3421785125299,0.5
1,2020-01-23 23:24:00,,0.5
1,2020-01-23 23:29:00,,0.0
1,2020-01-23 23:34:00,37.5404758574933,0.0
1,2020-01-23 23:39:00,,0.0
1,2020-01-23 23:44:00,,0.0
1,2020-01-23 23:49:00,38.8718658634462,0.0
1,2020-01-23 23:54:00,,0.0
1,2020-01-23 23:59:00,,0.0
1,2020-01-24 00:04:00,41.2734755875544,0.0
1,2020-01-24 00:09:00,,0.0
1,2020-01-24 00:14:00,,0.0
1,2020-01-24 00:19:00,41.6240143938077,0.0
1,2020-01-24 00:24:00,,0.0
1,2020-01-24 00:29:00,,0.5
1,2020-01-24 00:34:00,40.9248002969495,0.5
1,2020-01-24 00:39:00,,0.0
1,2020-01-24 00:44:00,,0.5
1,2020-01-24 00:49:00,42.3306837331517,0.0
1,2020-01-24 00:54:00,,0.5
1,2020-01-24 00:59:00,,0.0
1,2020-01-24 01:04:00,40.9248002969495,0.0
1,2020-01-24 01:09:00,,0.0
1,2020-01-24 01:14:00,,0.0
1,2020-01-24 01:19:00,41.2734755875544,0.5
1,2020-01-24 01:24:00,,0.0
1,2020-01-24 01:29:00,,0.0
1,2020-01-24 01:34:00,41.6240143938077,0.0
1,2020-01-24 01:39:00,,0.0
1,2020-01-24 01:44:00,,0.5
1,2020-01-24 01:49:00,41.9764170106825,0.0
1,2020-01-24 01:54:00,,0.0
1,2020-01-24 01:59:00,,0.0
1,2020-01-24 02:04:00,41.9764170106825,0.5
1,2020-01-24 02:09:00,,0.0
1,2020-01-24 02:14:00,,0.5
1,2020-01-24 02:19:00,43.0448106747657,0.0
1,2020-01-24 02:24:00,,0.0
1,2020-01-24 02:29:00,,0.0
1,2020-01-24 02:34:00,42.3306837331517,0.0
1,2020-01-24 02:39:00,,0.0
1,2020-01-24 02:44:00,,0.0
1,2020-01-24 02:49:55,41.6240143938077,0.5
1,2020-01-24 02:54:00,,0.0
1,2020-01-24 02:59:00,,0.0
1,2020-01-24 03:04:00,42.6868148561885,0.5
1,2020-01-24 03:09:00,,0.0
1,2020-01-24 03:14:01,,0.5
1,2020-01-24 03:19:00,42.3306837331517,0.0
1,2020-01-24 03:24:00,,0.0
1,2020-01-24 03:29:00,,0.0
1,2020-01-24 03:34:00,44.1299892534716,0.0
1,2020-01-24 03:39:00,,0.0
1,2020-01-24 03:44:00,,0.5
1,2020-01-24 03:49:00,43.7663975784343,0.0
1,2020-01-24 03:54:00,,0.0
1,2020-01-24 03:59:00,,0.0
1,2020-01-24 04:04:25,43.4046714838567,0.5
1,2020-01-24 04:09:00,,0.0
1,2020-01-24 04:14:00,,0.5
1,2020-01-24 04:19:00,44.4954468039416,0.5
1,2020-01-24 04:24:00,,0.0
1,2020-01-24 04:29:00,,0.0
1,2020-01-24 04:34:00,46.7273920093399,0.0
1,2020-01-24 04:39:00,,0.0
1,2020-01-24 04:44:00,,0.5
1,2020-01-24 04:49:00,45.9759416596101,0.5
1,2020-01-24 04:54:00,,0.0
1,2020-01-24 04:59:00,,0.5
1,2020-01-24 05:04:00,48.6387119999635,0.0
1,2020-01-24 05:09:29,,0.5
1,2020-01-24 05:14:00,,0.0
1,2020-01-24 05:19:00,49.0265830635238,0.0
1,2020-01-24 05:24:54,,0.5
1,2020-01-24 05:29:00,,0.0
1,2020-01-24 05:34:00,50.9939899320207,0.0
1,2020-01-24 05:39:00,,0.0
1,2020-01-24 05:44:15,,0.5
1,2020-01-24 05:49:00,49.4163238371663,0.0
1,2020-01-24 05:54:00,,0.5
1,2020-01-24 05:59:00,,0.0
1,2020-01-24 06:04:00,49.0265830635238,0.5
1,2020-01-24 06:09:00,,0.0
1,2020-01-24 06:14:00,,0.5
1,2020-01-24 06:19:00,49.0265830635238,0.0
1,2020-01-24 06:24:00,,0.5
1,2020-01-24 06:29:00,,0.0
1,2020-01-24 06:34:23,48.6387119999635,0.5
1,2020-01-24 06:39:00,,0.0
1,2020-01-24 06:44:00,,0.0
1,2020-01-24 06:49:00,48.2527103515124,0.0
1,2020-01-24 06:54:00,,0.5
1,2020-01-24 06:59:00,,0.0
1,2020-01-24 07:04:00,47.4863141200459,0.0
1,2020-01-24 07:09:00,,0.0
1,2020-01-24 07:14:00,,0.5
1,2020-01-24 07:19:00,46.7273920093399,0.0
1,2020-01-24 07:24:00,,0.5
1,2020-01-24 07:29:00,,0.0
1,2020-01-24 07:34:00,47.1059189470844,0.5
1,2020-01-24 07:39:00,,0.0
1,2020-01-24 07:44:00,,0.0
1,2020-01-24 07:49:00,45.9759416596101,0.0
1,2020-01-24 07:54:00,,0.5
1,2020-01-24 07:59:00,,0.0
1,2020-01-24 08:04:00,44.1299892534716,0.5
1,2020-01-24 08:09:00,,0.0
1,2020-01-24 08:14:00,,0.5
1,2020-01-24 08:19:36,44.4954468039416,0.5
1,2020-01-24 08:24:00,,0.0
1,2020-01-24 08:29:00,,0.0
1,2020-01-24 08:34:00,44.8627705248175,0.5
1,2020-01-24 08:39:00,,0.0
1,2020-01-24 08:44:00,,0.0
1,2020-01-24 08:49:00,44.1299892534716,0.0
1,2020-01-24 08:54:00,,0.5
1,2020-01-24 08:59:00,,0.0
1,2020-01-24 09:04:00,43.7663975784343,0.5
1,2020-01-24 09:09:00,,0.5
1,2020-01-24 09:14:00,,0.0
1,2020-01-24 09:19:00,44.8627705248175,0.5
1,2020-01-24 09:24:57,,0.5
1,2020-01-24 09:29:00,,0.0
1,2020-01-24 09:34:33,46.7273920093399,0.5
1,2020-01-24 09:39:00,,0.0
1,2020-01-24 09:44:00,,0.0
1,2020-01-24 09:49:00,47.4863141200459,0.0
1,2020-01-24 09:54:00,,0.0
1,2020-01-24 09:59:00,,0.5
1,2020-01-24 10:04:26,47.1059189470844,0.5
1,2020-01-24 10:09:00,,0.0
1,2020-01-24 10:14:00,,0.0
1,2020-01-24 10:19:54,49.8079346158643,0.5
1,2020-01-24 10:24:00,,0.0
1,2020-01-24 10:29:00,,0.0
1,2020-01-24 10:34:00,50.9939899320207,0.5
1,2020-01-24 10:39:00,,0.0
1,2020-01-24 10:44:00,,0.0
1,2020-01-24 10:49:00,51.7940489092407,0.0
1,2020-01-24 10:54:00,,0.0
1,2020-01-24 10:59:00,,0.0
1,2020-01-24 11:04:00,51.3930836806704,0.0
1,2020-01-24 11:09:00,,0.0
1,2020-01-24 11:14:00,,0.0
1,2020-01-24 11:19:00,51.3930836806704,0.0
1,2020-01-24 11:24:00,,0.0
1,2020-01-24 11:29:00,,0.0
1,2020-01-24 11:34:00,51.7940489092407,0.0
1,2020-01-24 11:39:00,,0.0
1,2020-01-24 11:44:00,,0.0
1,2020-01-24 11:49:00,50.5967673683184,0.0
1,2020-01-24 11:54:00,,0.0
1,2020-01-24 11:59:00,,0.0
1,2020-01-24 12:04:00,50.5967673683184,0.0
1,2020-01-24 12:09:00,,0.0
1,2020-01-24 12:14:00,,0.0
1,2020-01-24 12:19:00,49.4163238371663,0.0
1,2020-01-24 12:24:00,,0.0
1,2020-01-24 12:29:00,,0.0
1,2020-01-24 12:34:00,48.6387119999635,0.0
1,2020-01-24 12:39:00,,0.0
1,2020-01-24 12:44:00,,0.0
1,2020-01-24 12:49:00,47.1059189470844,0.0
1,2020-01-24 12:54:00,,0.0
1,2020-01-24 12:59:00,,0.0
1,2020-01-24 13:04:00,45.9759416596101,0.0
1,2020-01-24 13:09:00,,0.0
1,2020-01-24 13:14:00,,0.0
1,2020-01-24 13:19:00,45.6030176576787,0.0
1,2020-01-24 13:24:00,,0.0
1,2020-01-24 13:29:00,,0.0
1,2020-01-24 13:34:00,45.6030176576787,0.0
1,2020-01-24 13:39:00,,0.0
1,2020-01-24 13:44:00,,0.0
1,2020-01-24 13:49:00,44.1299892534716,0.0
1,2020-01-24 13:54:00,,0.0
1,2020-01-24 13:59:00,,0.0
1,2020-01-24 14:04:00,42.6868148561885,0.0
1,2020-01-24 14:09:00,,0.0
1,2020-01-24 14:14:00,,0.5
1,2020-01-24 14:19:00,43.0448106747657,0.0
1,2020-01-24 14:24:00,,0.0
1,2020-01-24 14:29:00,,0.0
1,2020-01-24 14:34:00,43.7663975784343,0.0
1,2020-01-24 14:39:00,,0.0
1,2020-01-24 14:44:00,,0.0
1,2020-01-24 14:49:00,43.4046714838567,0.0
1,2020-01-24 14:54:00,,0.0
1,2020-01-24 14:59:00,,0.0
1,2020-01-24 15:04:00,43.4046714838567,0.0
1,2020-01-24 15:09:00,,0.0
1,2020-01-24 15:14:00,,0.0
1,2020-01-24 15:19:00,43.0448106747657,0.0
1,2020-01-24 15:24:00,,0.0
1,2020-01-24 15:29:00,,0.0
1,2020-01-24 15:34:00,43.0448106747657,0.0
1,2020-01-24 15:39:00,,0.0
1,2020-01-24 15:44:00,,0.0
1,2020-01-24 15:49:00,42.6868148561885,0.0
1,2020-01-24 15:54:00,,0.0
1,2020-01-24 15:59:00,,0.0
1,2020-01-24 16:04:00,42.6868148561885,0.0
1,2020-01-24 16:09:00,,0.5
1,2020-01-24 16:14:00,,0.0
1,2020-01-24 16:19:00,41.2734755875544,0.0
1,2020-01-24 16:24:00,,0.0
1,2020-01-24 16:29:00,,0.0
1,2020-01-24 16:34:00,41.9764170106825,0.0
1,2020-01-24 16:39:00,,0.0
1,2020-01-24 16:44:00,,0.0
1,2020-01-24 16:49:00,41.9764170106825,0.0
1,2020-01-24 16:54:00,,0.0
1,2020-01-24 16:59:00,,0.0
1,2020-01-24 17:04:00,41.6240143938077,0.0
1,2020-01-24 17:09:00,,0.0
1,2020-01-24 17:14:00,,0.0
1,2020-01-24 17:19:00,41.9764170106825,0.0
1,2020-01-24 17:24:00,,0.0
1,2020-01-24 17:29:00,,0.0
1,2020-01-24 17:34:00,41.2734755875544,0.0
1,2020-01-24 17:39:00,,0.0
1,2020-01-24 17:44:00,,0.0
1,2020-01-24 17:49:00,41.2734755875544,0.0
1,2020-01-24 17:54:00,,0.0
1,2020-01-24 17:59:00,,0.0
1,2020-01-24 18:04:00,40.9248002969495,0.0
1,2020-01-24 18:09:00,,0.0
1,2020-01-24 18:14:00,,0.0
1,2020-01-24 18:19:00,39.8899525692948,0.0
1,2020-01-24 18:24:00,,0.0
1,2020-01-24 18:29:00,,0.0
1,2020-01-24 18:34:00,39.2093662545946,0.0
1,2020-01-24 18:39:00,,0.0
1,2020-01-24 18:44:00,,0.0
1,2020-01-24 18:49:00,40.57798822702,0.0
1,2020-01-24 18:54:00,,0.0
1,2020-01-24 18:59:00,,0.0
1,2020-01-24 19:04:00,38.5362269231349,0.0
1,2020-01-24 19:09:00,,0.0
1,2020-01-24 19:14:00,,0.0
1,2020-01-24 19:19:00,39.2093662545946,0.0
1,2020-01-24 19:24:00,,0.0
1,2020-01-24 19:29:00,,0.0
1,2020-01-24 19:34:00,38.8718658634462,0.0
1,2020-01-24 19:39:00,,0.0
1,2020-01-24 19:44:00,,0.0
1,2020-01-24 19:49:00,39.2093662545946,0.0
1,2020-01-24 19:54:00,,0.0
1,2020-01-24 19:59:00,,0.0
1,2020-01-24 20:04:00,38.5362269231349,0.0
1,2020-01-24 20:09:00,,0.0
1,2020-01-24 20:14:00,,0.0
1,2020-01-24 20:19:00,38.5362269231349,0.0
1,2020-01-24 20:24:00,,0.0
1,2020-01-24 20:29:00,,0.0
