event_id,t_start_full,t_end_full,t_start_core,t_end_core,duration_full_s,duration_core_s,Qmax,t_Qmax,volume_Q_dt
1,2020-01-01 00:04:00,2020-01-03 01:04:00,2020-01-01 00:04:00,2020-01-02 22:04:00,176700.0,165900.0,38.5362269231349,2020-01-01 03:19:00,1980346.3784710371
2,2020-01-23 21:49:00,2020-02-08 06:34:00,2020-01-23 22:49:00,2020-02-08 03:34:00,1327800.0,1313400.0,82.9374053000876,2020-01-28 05:49:00,22886320.048955128
3,2020-02-08 06:04:00,2020-02-09 03:49:00,2020-02-08 07:04:00,2020-02-09 00:49:00,78600.0,64200.0,35.5991930774508,2020-02-08 19:49:00,868681.2768204309
4,2020-02-10 03:19:00,2020-02-10 22:34:00,2020-02-10 04:19:00,2020-02-10 19:34:00,69600.0,55200.0,38.5362269231349,2020-02-10 09:49:00,782852.6057754875
5,2020-02-27 16:34:00,2020-02-27 21:34:00,2020-02-27 17:34:00,2020-02-27 18:34:00,18300.0,3900.0,35.5991930774508,2020-02-27 18:19:00,190494.0394286702
6,2020-02-29 09:49:00,2020-02-29 14:34:00,2020-02-29 10:49:00,2020-02-29 11:34:00,17400.0,3000.0,32.2138985342145,2020-02-29 10:49:00,184992.8126947394
7,2020-02-29 15:19:00,2020-02-29 22:34:00,2020-02-29 16:19:00,2020-02-29 19:34:00,26400.0,12000.0,34.6536454345058,2020-02-29 18:04:00,290354.5652279309
8,2020-03-02 06:04:00,2020-03-03 09:34:00,2020-03-02 07:04:00,2020-03-03 06:34:00,99300.0,84900.0,64.6947069957017,2020-03-02 11:04:00,1330276.6662233758
9,2020-03-03 09:19:00,2020-03-13 08:54:00,2020-03-03 10:19:00,2020-03-13 05:54:00,862800.0,848400.0,74.2349661407137,2020-03-05 15:34:00,11353429.164781066
10,2020-04-27 23:49:00,2020-04-28 07:29:00,2020-04-28 00:49:00,2020-04-28 04:29:00,27900.0,13500.0,51.617257112933,2020-04-28 02:04:00,723126.4510502126
11,2020-05-10 12:44:00,2020-05-20 16:24:00,2020-05-10 13:44:00,2020-05-20 13:24:00,877500.0,863100.0,213.062968405738,2020-05-13 15:54:00,26040377.535358183
12,2020-06-11 21:09:00,2020-06-22 04:04:00,2020-06-11 22:09:41,2020-06-22 01:04:00,889200.0,874800.0,2567.2,2020-06-12 03:04:14,173446218.42756495
13,2020-06-22 06:14:00,2020-06-22 10:14:00,2020-06-22 07:14:00,2020-06-22 07:14:00,14700.0,300.0,32.6357381903332,2020-06-22 07:14:00,204052.4061083337
14,2020-09-19 05:54:00,2020-09-21 10:39:00,2020-09-19 06:54:54,2020-09-21 07:39:00,190200.0,175800.0,1145.825,2020-09-19 09:34:00,16226761.304987773
15,2020-09-21 09:54:00,2020-09-27 02:04:00,2020-09-21 10:54:00,2020-09-26 23:04:00,490500.0,476100.0,134.909427881825,2020-09-22 14:59:00,10549859.496400058
16,2020-10-02 05:29:39,2020-10-12 17:19:00,2020-10-02 06:29:00,2020-10-12 14:19:00,906900.0,892500.0,118.778066939613,2020-10-02 09:19:00,27019329.776673906
17,2020-10-20 11:24:26,2020-10-20 16:14:00,2020-10-20 12:24:00,2020-10-20 13:14:00,17700.0,3300.0,32.9268428377877,2020-10-20 12:34:00,255984.9891405207
18,2020-10-21 00:54:00,2020-11-01 19:14:00,2020-10-21 01:54:00,2020-11-01 16:14:00,1016700.0,1002300.0,674.415842048644,2020-10-23 01:29:00,67681942.11741763
19,2020-11-07 16:59:00,2020-11-22 14:24:00,2020-11-07 17:59:00,2020-11-22 11:24:00,1287000.0,1272600.0,489.901659758919,2020-11-08 03:19:00,49089531.170843646
20,2020-11-25 14:49:00,2020-11-26 17:54:00,2020-11-25 15:49:00,2020-11-26 14:54:00,97800.0,83400.0,44.5643507169326,2020-11-26 08:24:00,1315581.229286648
21,2020-11-26 18:14:00,2020-11-27 15:24:00,2020-11-26 19:14:00,2020-11-27 12:24:00,76500.0,62100.0,42.4680666419267,2020-11-26 22:29:00,1014425.2880678802
22,2020-11-27 13:49:00,2020-11-27 17:49:00,2020-11-27 14:49:00,2020-11-27 14:49:00,14700.0,300.0,32.3463685143064,2020-11-27 14:49:00,169457.65488306148
23,2020-12-14 19:19:00,2020-12-30 14:59:00,2020-12-14 20:19:00,2020-12-30 11:59:00,1367100.0,1352700.0,511.853250654723,2020-12-20 02:39:00,109395004.67939271
24,2021-01-20 15:19:00,2021-02-17 09:04:00,2021-01-20 16:19:00,2021-02-17 06:04:00,2397000.0,2382600.0,123.818497717411,2021-01-20 22:19:00,69304511.93810295
25,2021-02-17 09:54:00,2021-02-17 13:54:00,2021-02-17 10:54:00,2021-02-17 10:54:00,14700.0,300.0,32.3463685143064,2021-02-17 10:54:00,187253.52806112927
26,2021-02-18 09:04:00,2021-03-03 04:09:00,2021-02-18 10:04:00,2021-03-03 01:09:00,1105800.0,1091400.0,80.5340237628437,2021-02-22 23:14:00,23432627.277559336
27,2021-03-03 02:19:00,2021-03-03 07:19:00,2021-03-03 03:19:00,2021-03-03 04:19:00,18300.0,3900.0,32.3463685143064,2021-03-03 03:19:00,180007.30309401732
28,2021-05-10 04:49:00,2021-05-22 20:34:00,2021-05-10 05:49:00,2021-05-22 17:34:00,1093800.0,1079400.0,1315.975,2021-05-10 17:19:15,123397766.2950851
29,2021-05-22 21:04:00,2021-05-23 02:34:00,2021-05-22 22:04:00,2021-05-22 23:34:00,20100.0,5700.0,32.3463685143064,2021-05-22 22:04:00,273881.2352215847
30,2021-06-20 12:34:00,2021-06-20 16:49:00,2021-06-20 13:34:00,2021-06-20 13:49:00,15600.0,1200.0,32.9268428377877,2021-06-20 13:34:00,261446.52651932338
31,2021-06-21 22:04:22,2021-06-22 04:29:00,2021-06-21 23:04:00,2021-06-22 01:29:00,23400.0,9000.0,56.3970908625873,2021-06-21 23:19:00,524769.6050361155
32,2021-07-06 12:24:59,2021-07-06 19:14:00,2021-07-06 13:24:00,2021-07-06 16:14:00,24900.0,10500.0,63.6007718870195,2021-07-06 13:59:00,650170.5485118701
33,2021-09-18 18:29:56,2021-09-18 23:34:00,2021-09-18 19:29:00,2021-09-18 20:34:00,18600.0,4200.0,60.1476093747227,2021-09-18 19:44:00,415631.1658548989
34,2021-10-03 03:09:00,2021-10-13 23:19:00,2021-10-03 04:09:00,2021-10-13 20:19:00,936900.0,922500.0,2913.725,2021-10-03 14:09:00,130860599.92423128
35,2021-10-20 15:24:00,2021-10-21 14:39:00,2021-10-20 16:24:00,2021-10-21 11:39:00,84000.0,69600.0,69.4521392360093,2021-10-21 02:09:00,1983387.8081826514
36,2021-10-29 03:44:00,2021-11-12 19:19:00,2021-10-29 04:44:00,2021-11-12 16:19:00,1266000.0,1251600.0,1635.525,2021-10-30 05:49:00,211198530.91125858
37,2021-11-12 17:29:00,2021-11-12 21:29:00,2021-11-12 18:29:00,2021-11-12 18:29:00,14700.0,300.0,32.3463685143064,2021-11-12 18:29:00,86217.06084068833
38,2021-11-12 20:29:00,2021-11-13 00:29:00,2021-11-12 21:29:00,2021-11-12 21:29:00,14700.0,300.0,32.3463685143064,2021-11-12 21:29:00,122558.8929563989
39,2021-11-24 20:49:00,2021-11-26 08:19:00,2021-11-24 21:49:00,2021-11-26 05:19:00,128100.0,113700.0,65.8161130285959,2021-11-25 03:59:00,2750363.849292818
40,2021-12-01 11:29:00,2021-12-02 01:19:00,2021-12-01 12:29:00,2021-12-01 22:19:00,50100.0,35700.0,39.7706325863065,2021-12-01 15:59:00,587410.617895515
41,2021-12-04 05:04:00,2021-12-05 07:04:00,2021-12-04 06:04:00,2021-12-05 04:04:00,93900.0,79500.0,62.7269407637142,2021-12-04 12:44:00,1629099.4361589635
42,2021-12-07 20:49:00,2021-12-08 09:04:00,2021-12-07 21:49:00,2021-12-08 06:04:00,44400.0,30000.0,38.4637106060913,2021-12-07 23:49:00,531468.241185158
43,2021-12-11 07:19:00,2021-12-11 12:24:00,2021-12-11 08:19:00,2021-12-11 09:24:00,18600.0,4200.0,35.3181709888183,2021-12-11 08:24:00,231284.36803496242
44,2021-12-11 10:54:00,2021-12-11 15:49:00,2021-12-11 11:54:00,2021-12-11 12:49:00,18000.0,3600.0,34.7099200558282,2021-12-11 12:19:00,177637.04055822568
45,2021-12-12 15:54:00,2021-12-12 22:04:00,2021-12-12 16:54:00,2021-12-12 19:04:00,22500.0,8100.0,32.6357381903332,2021-12-12 16:54:00,197194.49853528937
46,2022-02-14 01:14:00,2022-02-14 17:04:00,2022-02-14 02:14:00,2022-02-14 14:04:00,57300.0,42900.0,94.1872720213607,2022-02-14 08:34:00,1795484.4999606689
47,2022-02-16 14:34:00,2022-02-19 16:19:00,2022-02-16 15:34:00,2022-02-19 13:19:00,265800.0,251400.0,42.1247888516444,2022-02-17 00:59:00,3192536.5504942182
48,2022-02-19 14:54:00,2022-02-19 20:04:00,2022-02-19 15:54:00,2022-02-19 17:04:00,18900.0,4500.0,32.3463685143064,2022-02-19 15:54:00,133964.68177258465
49,2022-02-19 18:09:00,2022-02-19 22:09:00,2022-02-19 19:09:00,2022-02-19 19:09:00,14700.0,300.0,32.3463685143064,2022-02-19 19:09:00,104939.76085251696
50,2022-02-20 02:49:00,2022-02-22 23:44:00,2022-02-20 03:49:00,2022-02-22 20:44:00,248400.0,234000.0,38.1413308729399,2022-02-21 09:29:00,3295922.597446751
51,2022-03-31 23:04:00,2022-04-15 15:44:00,2022-04-01 00:04:00,2022-04-15 12:44:00,1269900.0,1255500.0,69.9145646833592,2022-04-06 16:34:00,27600896.493102703
52,2022-04-20 16:24:00,2022-04-21 00:44:00,2022-04-20 17:24:00,2022-04-20 21:44:00,30300.0,15900.0,38.4637106060913,2022-04-20 18:44:00,388945.49155432574
53,2022-04-21 00:54:00,2022-04-21 09:54:00,2022-04-21 01:54:00,2022-04-21 06:54:00,32700.0,18300.0,35.3181709888183,2022-04-21 04:04:00,288826.3406757819
54,2022-04-23 06:04:00,2022-05-01 18:49:00,2022-04-23 07:04:00,2022-05-01 15:49:00,737400.0,723000.0,130.935912151016,2022-04-23 11:34:00,17762359.739728246
55,2022-05-01 18:04:00,2022-05-01 22:04:00,2022-05-01 19:04:00,2022-05-01 19:04:00,14700.0,300.0,32.3463685143064,2022-05-01 19:04:00,133535.31064139903
56,2022-06-23 09:49:20,2022-06-23 15:19:00,2022-06-23 10:49:00,2022-06-23 12:19:00,20100.0,5700.0,65.3695279240925,2022-06-23 11:09:00,477090.5344438052
57,2022-09-13 17:24:00,2022-09-13 21:39:00,2022-09-13 18:24:00,2022-09-13 18:39:00,15600.0,1200.0,33.2196827233365,2022-09-13 18:24:00,262516.57041976834
58,2022-10-20 22:49:00,2022-10-21 07:54:00,2022-10-20 23:49:30,2022-10-21 04:54:00,33000.0,18600.0,116.91737135982,2022-10-21 01:34:00,1330417.3271195525
59,2022-11-08 22:34:00,2022-11-09 12:04:00,2022-11-08 23:34:00,2022-11-09 09:04:00,48900.0,34500.0,66.2644571045267,2022-11-09 03:14:29,1198710.6849871252
60,2022-11-14 13:14:00,2022-11-15 07:39:00,2022-11-14 14:14:00,2022-11-15 04:39:00,66600.0,52200.0,41.7832540327896,2022-11-14 20:24:00,1183023.9952609232
61,2022-11-15 09:59:00,2022-11-16 11:59:00,2022-11-15 10:59:00,2022-11-16 08:59:00,93900.0,79500.0,43.1598522034408,2022-11-15 23:34:00,1349091.1430982612
62,2022-11-17 16:59:00,2022-11-18 04:59:00,2022-11-17 17:59:00,2022-11-18 01:59:00,43500.0,29100.0,35.0131769699428,2022-11-17 19:39:00,597502.0749286679
63,2022-11-21 15:14:00,2022-11-22 02:44:00,2022-11-21 16:14:00,2022-11-21 23:44:00,41700.0,27300.0,38.1413308729399,2022-11-21 18:59:00,606413.1556098105
64,2022-12-08 21:34:00,2022-12-10 03:29:00,2022-12-08 22:34:00,2022-12-10 00:29:00,108000.0,93600.0,40.1017151765958,2022-12-09 00:49:00,1942901.8289406232
65,2022-12-10 01:34:00,2022-12-10 07:04:00,2022-12-10 02:34:00,2022-12-10 04:04:00,20100.0,5700.0,32.3463685143064,2022-12-10 02:34:00,264195.00881585473
66,2022-12-13 02:04:00,2022-12-30 09:49:00,2022-12-13 03:04:00,2022-12-30 06:49:00,1497000.0,1482600.0,250.664827395195,2022-12-15 12:44:00,71008186.89483654
67,2022-12-31 18:49:00,2023-01-01 05:44:00,2022-12-31 19:49:00,2023-01-01 02:44:00,39600.0,25200.0,33.8105692753837,2022-12-31 23:29:00,590427.0322469508
68,2023-01-02 13:24:00,2023-01-07 10:49:00,2023-01-02 14:24:00,2023-01-07 07:49:00,423000.0,408600.0,63.6007718870195,2023-01-03 02:09:00,8107577.27343239
69,2023-01-07 12:39:00,2023-01-07 16:39:00,2023-01-07 13:39:00,2023-01-07 13:39:00,14700.0,300.0,32.3463685143064,2023-01-07 13:39:00,152088.03100760953
70,2023-01-07 16:09:00,2023-01-09 07:19:00,2023-01-07 17:09:00,2023-01-09 04:19:00,141300.0,126900.0,36.555523445263,2023-01-08 01:04:00,1938436.5391582074
71,2023-02-23 23:29:00,2023-03-04 19:24:00,2023-02-24 00:29:00,2023-03-04 16:24:00,763200.0,748800.0,196.140303421014,2023-02-24 11:29:00,24472558.411215357
72,2023-03-10 05:04:00,2023-03-10 11:24:00,2023-03-10 06:04:00,2023-03-10 08:24:00,23100.0,8700.0,33.8105692753837,2023-03-10 07:09:00,413126.346533834
73,2023-03-11 01:29:00,2023-03-11 21:09:00,2023-03-11 02:29:00,2023-03-11 18:09:00,71100.0,56700.0,52.0059457603308,2023-03-11 07:44:00,1544716.1970397213
74,2023-03-13 19:29:00,2023-03-18 19:44:00,2023-03-13 20:29:00,2023-03-18 16:44:00,433200.0,418800.0,82.556647685456,2023-03-13 23:09:00,8568911.753373379
75,2023-03-19 11:19:00,2023-03-19 15:19:00,2023-03-19 12:19:00,2023-03-19 12:19:00,14700.0,300.0,32.6357381903332,2023-03-19 12:19:00,297438.2386590351
76,2023-05-31 12:19:00,2023-05-31 21:14:00,2023-05-31 13:19:00,2023-05-31 18:14:00,32400.0,18000.0,54.3748405780284,2023-05-31 13:39:00,809393.3696058473
77,2023-06-04 16:44:00,2023-06-04 23:14:00,2023-06-04 17:44:00,2023-06-04 20:14:00,23700.0,9300.0,34.5608967225791,2023-06-04 18:34:00,413185.63831043296
78,2023-06-09 11:19:00,2023-06-10 18:19:00,2023-06-09 12:19:55,2023-06-10 15:19:00,111900.0,97500.0,99.192590418333,2023-06-09 17:04:00,3388675.585223691
79,2023-06-10 23:59:00,2023-06-11 04:29:00,2023-06-11 00:59:00,2023-06-11 01:29:00,16500.0,2100.0,32.6357381903332,2023-06-11 03:39:00,208778.0348828003
80,2023-06-11 02:39:00,2023-06-11 09:59:00,2023-06-11 03:39:00,2023-06-11 06:59:00,26700.0,12300.0,32.6357381903332,2023-06-11 03:39:00,398325.2518969168
